관광지명,대분류,중분류,MZ_비중,20대여성_비중,시니어_비중,남성_총비중,HHI_쏠림지수,연령다양성,주력_성연령,주력_비율,여성_총비중
연무대(동장대),역사관광,역사유적지,36.6,7.5,16.3,56.7,878.0,15.377,40대 남성 비율,12.3,43.3
인계예술공원,문화관광,도시공원,45.3,12.3,12.4,53.6,910.0,15.08,30대 남성 비율,13.6,46.4
장안문(長安門),역사관광,역사유적지,40.9,13.1,17.9,55.3,918.0,14.877,20대 여성 비율,18.3,44.7
창룡문,역사관광,역사유적지,36.1,8.1,17.9,54.2,850.0,15.38,40대 남성 비율,11.6,45.8
팔달공원,문화관광,도시공원,37.2,11.8,18.3,50.1,835.0,15.239,20대 여성 비율,17.2,49.9
팔달사(수원),역사관광,종교성지,33.3,8.9,22.2,52.2,821.0,15.375,50대 여성 비율,11.2,47.8
한옥기술전시관,문화관광,전시시설,50.1,23.0,15.8,45.8,1077.0,13.946,20대 여성 비율,30.0,54.2
화서공원,문화관광,도시공원,40.6,15.9,19.7,46.1,862.0,15.036,20대 여성 비율,21.1,53.9
화서문(華西門),역사관광,역사유적지,44.1,19.4,18.1,43.9,936.0,14.188,20대 여성 비율,29.9,56.1
화성행궁,역사관광,역사유적지,45.2,19.6,19.2,44.1,944.0,14.812,20대 여성 비율,23.6,55.9
화홍문(華虹門),역사관광,역사유적지,39.4,14.6,18.5,49.1,850.0,14.935,20대 여성 비율,21.6,50.9
효원공원,역사관광,역사유적지,45.8,13.2,11.7,49.1,925.0,15.055,20대 여성 비율,13.5,50.9
효원의종·서장대,역사관광,역사유적지,29.3,6.1,18.8,54.0,813.0,15.419,50대 남성 비율,12.5,46.0
나혜석거리,문화관광,도시.지역문화관광,60.5,19.9,7.7,51.8,1210.0,13.989,20대 여성 비율,20.0,48.2
매산시장,쇼핑,시장,68.8,27.2,4.6,52.4,1840.0,12.423,20대 남성 비율,30.4,47.6
못골종합시장(못골시장),쇼핑,시장,25.8,6.3,29.7,50.8,836.0,15.138,60대 여성 비율,14.0,49.2
서호공원,문화관광,도시공원,34.7,8.4,20.6,53.6,840.0,15.332,50대 남성 비율,12.2,46.4
서호꽃뫼공원,문화관광,도시공원,37.0,9.3,17.8,52.6,811.0,15.503,50대 남성 비율,11.1,47.4
수원공방거리,문화관광,도시.지역문화관광,33.0,9.1,23.3,52.0,840.0,15.366,50대 여성 비율,11.2,48.0
수원사(수원),역사관광,종교성지,36.8,10.8,23.7,51.8,834.0,15.341,50대 남성 비율,11.7,48.2
수원시립아이파크미술관,문화관광,전시시설,32.8,13.9,20.2,44.2,831.0,15.378,20대 여성 비율,21.0,55.8
수원역전시장,쇼핑,시장,58.2,19.8,10.8,54.9,1236.0,14.372,20대 남성 비율,24.5,45.1
수원영동시장,쇼핑,시장,25.0,6.4,34.1,46.7,884.0,15.053,60대 여성 비율,15.1,53.3
수원월드컵경기장(봉녕사),역사관광,종교성지,33.6,8.2,19.2,48.0,783.0,15.549,50대 여성 비율,11.4,52.0
수원통닭거리,문화관광,도시.지역문화관광,36.8,10.8,23.7,51.8,834.0,15.301,60대 여성 비율,12.9,48.2
수원향교,역사관광,역사유적지,37.4,7.3,14.3,58.3,994.0,14.959,50대 남성 비율,16.6,41.7
수원화령전,역사관광,역사유적지,58.5,29.3,13.7,38.3,1345.0,13.864,20대 여성 비율,29.9,61.7
수원화성(유네스코세계유산),역사관광,역사유적지,38.7,14.0,21.2,48.9,821.0,2.562,20대 여성 비율,14.0,51.1
수원화성관광특구,문화관광,복합관광시설,34.7,10.4,23.5,50.9,809.0,15.46,20대 여성 비율,11.2,49.1
수원화성박물관,문화관광,전시시설,36.8,10.8,23.7,51.8,834.0,15.343,50대 남성 비율,11.7,48.2
숙지공원,문화관광,도시공원,32.5,7.8,19.6,49.2,778.0,15.599,50대 여성 비율,11.1,50.8
연무대(동장대),역사관광,역사유적지,35.4,7.8,18.4,54.1,841.0,15.377,40대 남성 비율,12.3,45.9
인계예술공원,문화관광,도시공원,44.6,12.4,13.1,53.2,883.0,15.08,30대 남성 비율,13.6,46.8
장안문(長安門),역사관광,역사유적지,44.4,16.3,19.3,52.5,933.0,14.877,20대 여성 비율,18.3,47.5
창룡문,역사관광,역사유적지,34.7,7.7,19.3,53.5,846.0,15.38,40대 남성 비율,11.6,46.5
팔달공원,문화관광,도시공원,40.3,13.2,17.6,49.7,853.0,15.239,20대 여성 비율,17.2,50.3
팔달사(수원),역사관광,종교성지,33.0,9.1,23.3,52.0,840.0,15.375,50대 여성 비율,11.2,48.0
한옥기술전시관,문화관광,전시시설,55.4,27.0,14.4,42.0,1233.0,13.946,20대 여성 비율,30.0,58.0
화서공원,문화관광,도시공원,43.7,17.8,18.8,44.2,902.0,15.036,20대 여성 비율,21.1,55.8
화서문(華西門),역사관광,역사유적지,48.1,21.6,16.8,42.0,1007.0,14.188,20대 여성 비율,29.9,58.0
